Building Type,Location,Foot print (m2),GFA (m2),Floor Count,Life Time (Years),TCO2 (Total),TC02 (Normalized at 50 years),Building_Construction_Type,Wood %,Steel %,Concrete %,Wood EC %,Steel EC %,Concrete EC %
Commercial,North America,46452 to 92903,"500,001 to 1 million",More than 25,50,428,428.0,Steel - Concrete,0,20,80,0,77,23
Residential,North America,Over 92903,Over 1 million,More than 25,40,343.97,430.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,40,344.24,430.3,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",1 to 6,40,344.79,431.0,RC,95,5,0,0,15,85
Commercial,Europe,46452 to 92903,"500,001 to 1 million",More than 25,40,345.82,432.3,Steel - Concrete,0,20,80,0,77,23
Commercial,Middle East,46452 to 92903,"500,001 to 1 million",More than 25,50,433,433.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,435,435.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",15 to 25,50,436,436.0,Steel - Concrete,0,20,80,0,77,23
Residential,North America,18581 to 46451,"200,001 to 500,000",15 to 25,40,349.02,436.3,Steel - Concrete,0,20,80,0,77,23
Residential,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,50,437,437.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Middle East,46452 to 92903,"500,001 to 1 million",15 to 25,40,349.87,437.3,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,438,438.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,351.45,439.3,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,440,440.0,RC,95,5,0,0,15,85
Residential,Europe,466 to 929,"5,001 to 10,000",1 to 6,40,353.39,441.7,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,50,442,442.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,60,530.53,442.1,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",15 to 25,40,354.58,443.2,Steel - Concrete,0,20,80,0,77,23
Residential,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,444,444.0,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,445,445.0,RC,95,5,0,0,15,85
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,40,356.64,445.8,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,446,446.0,Steel - Concrete,0,20,80,0,77,23
Residential,Asia-Pacific,4646 to 9290,"50,001 to 100,000",7 to 14,60,536.4,447.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40,359.4,449.3,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,450.51,450.5,RC,95,5,0,0,15,85
Commercial,Middle East,18581 to 46451,"200,001 to 500,000",15 to 25,50,453,453.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,7 to 14,40,363.71,454.6,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,40,363.77,454.7,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,60,546.67,455.6,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,456,456.0,RC,95,5,0,0,15,85
Residential,North America,18581 to 46451,"200,001 to 500,000",7 to 14,40,365.74,457.2,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,4646 to 9290,"50,001 to 100,000",7 to 14,60,549.15,457.6,Steel - Concrete,0,20,80,0,77,23
Residential,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,459,459.0,Steel - Concrete,0,20,80,0,77,23
